District_Name,Crop_Year,Season,Crop,Area,Yield
ARIYALUR,2009,Kharif,Rice,25978,3.0973131110940026
ARIYALUR,2009,Kharif,Small millets,404,1.6064356435643565
ARIYALUR,2009,Whole Year,Arhar/Tur,160,0.7625
ARIYALUR,2009,Whole Year,Bajra,644,1.6801242236024845
ARIYALUR,2009,Whole Year,Banana,134,42.992537313432834
ARIYALUR,2009,Whole Year,Cashewnut,31188,0.3198345517506733
ARIYALUR,2009,Whole Year,Castor seed,21,0.2857142857142857
ARIYALUR,2009,Whole Year,Coconut,336,15.476190476190476
ARIYALUR,2009,Whole Year,Coriander,338,0.39644970414201186
ARIYALUR,2009,Whole Year,Cotton(lint),4074,2.7081492390770743
ARIYALUR,2009,Whole Year,Dry chillies,1676,0.3627684964200477
ARIYALUR,2009,Whole Year,Groundnut,13878,1.9456694048133736
ARIYALUR,2009,Whole Year,Jowar,4959,1.420246017342206
ARIYALUR,2009,Whole Year,Maize,9979,2.394127668103016
ARIYALUR,2009,Whole Year,Moong(Green Gram),13,0.8461538461538461
ARIYALUR,2009,Whole Year,Onion,47,9.74468085106383
ARIYALUR,2009,Whole Year,Ragi,47,2.765957446808511
ARIYALUR,2009,Whole Year,Sesamum,1652,0.2736077481840194
ARIYALUR,2009,Whole Year,Sugarcane,6970,116.20430416068866
ARIYALUR,2009,Whole Year,Sunflower,111,1.3333333333333333
ARIYALUR,2009,Whole Year,Sweet potato,2,14.5
ARIYALUR,2009,Whole Year,Tapioca,257,34.46692607003891
ARIYALUR,2009,Whole Year,Turmeric,21,5.0476190476190474
ARIYALUR,2009,Whole Year,Urad,1046,0.3824091778202677
ARIYALUR,2010,Kharif,Arhar/Tur,209,0.6602870813397129
ARIYALUR,2010,Kharif,Castor seed,27,0.25925925925925924
ARIYALUR,2010,Kharif,Cotton(lint),5684,1.6469035890218156
ARIYALUR,2010,Kharif,Groundnut,12058,3.090562282302206
ARIYALUR,2010,Kharif,Maize,9996,0.863345338135254
ARIYALUR,2010,Kharif,Moong(Green Gram),4,0.5
ARIYALUR,2010,Kharif,Ragi,42,2.5952380952380953
ARIYALUR,2010,Kharif,Rice,25211,3.8819959541469995
ARIYALUR,2010,Kharif,Sunflower,202,1.2128712871287128
ARIYALUR,2010,Kharif,Urad,1526,0.4855832241153342
ARIYALUR,2010,Whole Year,Sugarcane,7500,98.53413333333333
ARIYALUR,2011,Kharif,Bajra,590,2.5406779661016947
ARIYALUR,2011,Kharif,Cotton(lint),7661,4.7224905364834875
ARIYALUR,2011,Kharif,Groundnut,9999,3.576957695769577
ARIYALUR,2011,Kharif,Jowar,1659,1.2742616033755274
ARIYALUR,2011,Kharif,Maize,11778,5.169043980302258
ARIYALUR,2011,Kharif,Ragi,14,2.642857142857143
ARIYALUR,2011,Kharif,Rice,24097,4.0360625804042
ARIYALUR,2011,Rabi,Bajra,6,3.0
ARIYALUR,2011,Rabi,Cotton(lint),150,2.7533333333333334
ARIYALUR,2011,Rabi,Groundnut,3028,5.975231175693527
ARIYALUR,2011,Rabi,Jowar,15,1.4666666666666666
ARIYALUR,2011,Rabi,Maize,357,6.649859943977591
ARIYALUR,2011,Rabi,Ragi,3,3.0
ARIYALUR,2011,Whole Year,Arhar/Tur,192,0.8697916666666666
ARIYALUR,2011,Whole Year,Banana,144,43.69444444444444
ARIYALUR,2011,Whole Year,Cashewnut,29930,0.21610424323421315
ARIYALUR,2011,Whole Year,Castor seed,38,0.21052631578947367
ARIYALUR,2011,Whole Year,Coconut,323,8049.5356037151705
ARIYALUR,2011,Whole Year,Coriander,75,0.4666666666666667
ARIYALUR,2011,Whole Year,Dry chillies,735,0.6925170068027211
ARIYALUR,2011,Whole Year,Moong(Green Gram),6,0.6666666666666666
ARIYALUR,2011,Whole Year,Onion,26,12.653846153846153
ARIYALUR,2011,Whole Year,Small millets,259,2.722007722007722
ARIYALUR,2011,Whole Year,Sugarcane,7967,110.48813857160788
ARIYALUR,2011,Whole Year,Sunflower,228,1.8333333333333333
ARIYALUR,2011,Whole Year,Tapioca,273,37.663003663003664
ARIYALUR,2011,Whole Year,Turmeric,100,5.48
ARIYALUR,2011,Whole Year,Urad,1496,0.7774064171122995
ARIYALUR,2012,Kharif,Arhar/Tur,99,0.7878787878787878
ARIYALUR,2012,Kharif,Castor seed,65,0.2153846153846154
ARIYALUR,2012,Kharif,Cotton(lint),8634,1.81422283993514
ARIYALUR,2012,Kharif,Groundnut,9108,2.5267896354852875
ARIYALUR,2012,Kharif,Maize,14743,2.4058197110493116
ARIYALUR,2012,Kharif,Moong(Green Gram),2,0.5
ARIYALUR,2012,Kharif,Ragi,8,1.875
ARIYALUR,2012,Kharif,Rice,17523,2.0768133310506194
ARIYALUR,2012,Kharif,Sunflower,754,1.2228116710875332
ARIYALUR,2012,Kharif,Urad,1703,0.5425719318849089
ARIYALUR,2012,Whole Year,Sugarcane,7804,90.6694003075346
ARIYALUR,2013,Kharif,Bajra,777,3.716859716859717
ARIYALUR,2013,Kharif,Castor seed,31,0.3225806451612903
ARIYALUR,2013,Kharif,Cotton(lint),8815,3.388201928530913
ARIYALUR,2013,Kharif,Groundnut,6436,3.2889993784959604
ARIYALUR,2013,Kharif,Jowar,809,1.2410383189122374
ARIYALUR,2013,Kharif,Maize,17153,5.320177228473153
ARIYALUR,2013,Kharif,Moong(Green Gram),23,0.5652173913043478
ARIYALUR,2013,Kharif,Onion,36,11.63888888888889
ARIYALUR,2013,Kharif,Ragi,38,2.736842105263158
ARIYALUR,2013,Kharif,Rice,24437,5.387649875189262
ARIYALUR,2013,Kharif,Sunflower,76,1.8026315789473684
ARIYALUR,2013,Kharif,Urad,1951,0.8400820092260379
ARIYALUR,2013,Rabi,Bajra,95,2.0
ARIYALUR,2013,Rabi,Cotton(lint),303,2.3993399339933994
ARIYALUR,2013,Rabi,Groundnut,3571,6.09353122374685
ARIYALUR,2013,Rabi,Horse-gram,1,1.0
ARIYALUR,2013,Rabi,Jowar,63,2.1587301587301586
ARIYALUR,2013,Rabi,Maize,615,5.001626016260163
ARIYALUR,2013,Rabi,Onion,7,8.428571428571429
ARIYALUR,2013,Rabi,Ragi,11,4.0
ARIYALUR,2013,Rabi,Sunflower,1,1.0
ARIYALUR,2013,Rabi,Urad,1485,0.8531986531986532
ARIYALUR,2013,Whole Year,Arhar/Tur,236,0.9661016949152542
ARIYALUR,2013,Whole Year,Banana,131,41.534351145038165
ARIYALUR,2013,Whole Year,Cashewnut,30152,0.21889095250729637
ARIYALUR,2013,Whole Year,Coconut,331,5135.95166163142
ARIYALUR,2013,Whole Year,Coriander,14,0.35714285714285715
ARIYALUR,2013,Whole Year,Dry chillies,212,0.27358490566037735
ARIYALUR,2013,Whole Year,Small millets,187,2.625668449197861
ARIYALUR,2013,Whole Year,Sugarcane,9875,112.63837974683544
ARIYALUR,2013,Whole Year,Tapioca,189,29.92063492063492
ARIYALUR,2013,Whole Year,Turmeric,61,3.6721311475409837
COIMBATORE,1997,Kharif,Banana,5619,32.69976864210714
COIMBATORE,1997,Kharif,Horse-gram,6849,0.44386041757920863
COIMBATORE,1997,Kharif,Onion,2813,13.220049768929968
COIMBATORE,1997,Kharif,Sesamum,1598,0.36295369211514394
COIMBATORE,1997,Kharif,Small millets,63,0.7936507936507936
COIMBATORE,1997,Kharif,Tobacco,936,1.7307692307692308
COIMBATORE,1997,Whole Year,Arhar/Tur,1393,0.5025125628140703
COIMBATORE,1997,Whole Year,Bajra,518,1.7567567567567568
COIMBATORE,1997,Whole Year,Banana,7269,39.33553446141147
COIMBATORE,1997,Whole Year,Black pepper,131,0.22900763358778625
COIMBATORE,1997,Whole Year,Cardamom,834,0.08393285371702638
COIMBATORE,1997,Whole Year,Cashewnut,63,0.6349206349206349
COIMBATORE,1997,Whole Year,Castor seed,199,0.35175879396984927
COIMBATORE,1997,Whole Year,Coriander,709,0.18335684062059238
COIMBATORE,1997,Whole Year,Cotton(lint),16858,1.815755131095029
COIMBATORE,1997,Whole Year,Dry chillies,2350,0.6085106382978723
COIMBATORE,1997,Whole Year,Gram,4481,0.740906047757197
COIMBATORE,1997,Whole Year,Groundnut,33861,1.2743273973007294
COIMBATORE,1997,Whole Year,Jowar,89773,0.7256079222037807
COIMBATORE,1997,Whole Year,Maize,15763,1.1241514940049484
COIMBATORE,1997,Whole Year,Moong(Green Gram),4526,0.32699955810870523
COIMBATORE,1997,Whole Year,Onion,1680,12.476190476190476
COIMBATORE,1997,Whole Year,Pulses total,34941,0.37520391517128876
COIMBATORE,1997,Whole Year,Ragi,401,1.9950124688279303
COIMBATORE,1997,Whole Year,Rice,18703,3.0834625461155962
COIMBATORE,1997,Whole Year,Sugarcane,10756,1140.9445890665675
COIMBATORE,1997,Whole Year,Sunflower,457,1.0065645514223194
COIMBATORE,1997,Whole Year,Tapioca,1320,37.50757575757576
COIMBATORE,1997,Whole Year,Tobacco,844,1.481042654028436
COIMBATORE,1997,Whole Year,Total foodgrain,160230,0.9700430630967983
COIMBATORE,1997,Whole Year,Turmeric,2024,8.379446640316205
COIMBATORE,1997,Whole Year,Urad,3085,0.46677471636953
COIMBATORE,1998,Kharif,Arhar/Tur,2312,0.8641868512110726
COIMBATORE,1998,Kharif,Bajra,244,2.0942622950819674
COIMBATORE,1998,Kharif,Cotton(lint),15370,2.1011060507482107
COIMBATORE,1998,Kharif,Groundnut,39937,1.733930941232441
COIMBATORE,1998,Kharif,Horse-gram,7231,0.4190291799197898
