District_Name,Crop_Year,Season,Crop,Area,Yield,Rainfall
ariyalur,2009,Kharif,Rice,25978,3.097313111094002,60.86666666666667
ariyalur,2009,Kharif,Rice,25978,3.097313111094002,177.19999999999996
ariyalur,2009,Kharif,Rice,25978,3.097313111094002,48.06666666666666
ariyalur,2009,Kharif,Rice,25978,3.097313111094002,32.36666666666667
ariyalur,2009,Kharif,Rice,25978,3.097313111094002,451.5
ariyalur,2009,Kharif,Small millets,404,1.6064356435643563,60.86666666666667
ariyalur,2009,Kharif,Small millets,404,1.6064356435643563,177.19999999999996
ariyalur,2009,Kharif,Small millets,404,1.6064356435643563,48.06666666666666
ariyalur,2009,Kharif,Small millets,404,1.6064356435643563,32.36666666666667
ariyalur,2009,Kharif,Small millets,404,1.6064356435643563,451.5
ariyalur,2009,Whole Year,Arhar/Tur,160,0.7625,60.86666666666667
ariyalur,2009,Whole Year,Arhar/Tur,160,0.7625,177.19999999999996
ariyalur,2009,Whole Year,Arhar/Tur,160,0.7625,48.06666666666666
ariyalur,2009,Whole Year,Arhar/Tur,160,0.7625,32.36666666666667
ariyalur,2009,Whole Year,Arhar/Tur,160,0.7625,451.5
ariyalur,2009,Whole Year,Bajra,644,1.6801242236024845,60.86666666666667
ariyalur,2009,Whole Year,Bajra,644,1.6801242236024845,177.19999999999996
ariyalur,2009,Whole Year,Bajra,644,1.6801242236024845,48.06666666666666
ariyalur,2009,Whole Year,Bajra,644,1.6801242236024845,32.36666666666667
ariyalur,2009,Whole Year,Bajra,644,1.6801242236024845,451.5
ariyalur,2009,Whole Year,Banana,134,42.992537313432834,60.86666666666667
ariyalur,2009,Whole Year,Banana,134,42.992537313432834,177.19999999999996
ariyalur,2009,Whole Year,Banana,134,42.992537313432834,48.06666666666666
ariyalur,2009,Whole Year,Banana,134,42.992537313432834,32.36666666666667
ariyalur,2009,Whole Year,Banana,134,42.992537313432834,451.5
ariyalur,2009,Whole Year,Cashewnut,31188,0.3198345517506733,60.86666666666667
ariyalur,2009,Whole Year,Cashewnut,31188,0.3198345517506733,177.19999999999996
ariyalur,2009,Whole Year,Cashewnut,31188,0.3198345517506733,48.06666666666666
ariyalur,2009,Whole Year,Cashewnut,31188,0.3198345517506733,32.36666666666667
ariyalur,2009,Whole Year,Cashewnut,31188,0.3198345517506733,451.5
ariyalur,2009,Whole Year,Castor seed,21,0.2857142857142857,60.86666666666667
ariyalur,2009,Whole Year,Castor seed,21,0.2857142857142857,177.19999999999996
ariyalur,2009,Whole Year,Castor seed,21,0.2857142857142857,48.06666666666666
ariyalur,2009,Whole Year,Castor seed,21,0.2857142857142857,32.36666666666667
ariyalur,2009,Whole Year,Castor seed,21,0.2857142857142857,451.5
ariyalur,2009,Whole Year,Coconut,336,15.476190476190476,60.86666666666667
ariyalur,2009,Whole Year,Coconut,336,15.476190476190476,177.19999999999996
ariyalur,2009,Whole Year,Coconut,336,15.476190476190476,48.06666666666666
ariyalur,2009,Whole Year,Coconut,336,15.476190476190476,32.36666666666667
ariyalur,2009,Whole Year,Coconut,336,15.476190476190476,451.5
ariyalur,2009,Whole Year,Coriander,338,0.3964497041420118,60.86666666666667
ariyalur,2009,Whole Year,Coriander,338,0.3964497041420118,177.19999999999996
ariyalur,2009,Whole Year,Coriander,338,0.3964497041420118,48.06666666666666
ariyalur,2009,Whole Year,Coriander,338,0.3964497041420118,32.36666666666667
ariyalur,2009,Whole Year,Coriander,338,0.3964497041420118,451.5
ariyalur,2009,Whole Year,Cotton(lint),4074,2.7081492390770743,60.86666666666667
ariyalur,2009,Whole Year,Cotton(lint),4074,2.7081492390770743,177.19999999999996
ariyalur,2009,Whole Year,Cotton(lint),4074,2.7081492390770743,48.06666666666666
ariyalur,2009,Whole Year,Cotton(lint),4074,2.7081492390770743,32.36666666666667
ariyalur,2009,Whole Year,Cotton(lint),4074,2.7081492390770743,451.5
ariyalur,2009,Whole Year,Dry chillies,1676,0.3627684964200477,60.86666666666667
ariyalur,2009,Whole Year,Dry chillies,1676,0.3627684964200477,177.19999999999996
ariyalur,2009,Whole Year,Dry chillies,1676,0.3627684964200477,48.06666666666666
ariyalur,2009,Whole Year,Dry chillies,1676,0.3627684964200477,32.36666666666667
ariyalur,2009,Whole Year,Dry chillies,1676,0.3627684964200477,451.5
ariyalur,2009,Whole Year,Groundnut,13878,1.9456694048133736,60.86666666666667
ariyalur,2009,Whole Year,Groundnut,13878,1.9456694048133736,177.19999999999996
ariyalur,2009,Whole Year,Groundnut,13878,1.9456694048133736,48.06666666666666
ariyalur,2009,Whole Year,Groundnut,13878,1.9456694048133736,32.36666666666667
ariyalur,2009,Whole Year,Groundnut,13878,1.9456694048133736,451.5
ariyalur,2009,Whole Year,Jowar,4959,1.420246017342206,60.86666666666667
ariyalur,2009,Whole Year,Jowar,4959,1.420246017342206,177.19999999999996
ariyalur,2009,Whole Year,Jowar,4959,1.420246017342206,48.06666666666666
ariyalur,2009,Whole Year,Jowar,4959,1.420246017342206,32.36666666666667
ariyalur,2009,Whole Year,Jowar,4959,1.420246017342206,451.5
ariyalur,2009,Whole Year,Maize,9979,2.394127668103016,60.86666666666667
ariyalur,2009,Whole Year,Maize,9979,2.394127668103016,177.19999999999996
ariyalur,2009,Whole Year,Maize,9979,2.394127668103016,48.06666666666666
ariyalur,2009,Whole Year,Maize,9979,2.394127668103016,32.36666666666667
ariyalur,2009,Whole Year,Maize,9979,2.394127668103016,451.5
ariyalur,2009,Whole Year,Moong(Green Gram),13,0.8461538461538461,60.86666666666667
ariyalur,2009,Whole Year,Moong(Green Gram),13,0.8461538461538461,177.19999999999996
ariyalur,2009,Whole Year,Moong(Green Gram),13,0.8461538461538461,48.06666666666666
ariyalur,2009,Whole Year,Moong(Green Gram),13,0.8461538461538461,32.36666666666667
ariyalur,2009,Whole Year,Moong(Green Gram),13,0.8461538461538461,451.5
ariyalur,2009,Whole Year,Onion,47,9.74468085106383,60.86666666666667
ariyalur,2009,Whole Year,Onion,47,9.74468085106383,177.19999999999996
ariyalur,2009,Whole Year,Onion,47,9.74468085106383,48.06666666666666
ariyalur,2009,Whole Year,Onion,47,9.74468085106383,32.36666666666667
ariyalur,2009,Whole Year,Onion,47,9.74468085106383,451.5
ariyalur,2009,Whole Year,Ragi,47,2.765957446808511,60.86666666666667
ariyalur,2009,Whole Year,Ragi,47,2.765957446808511,177.19999999999996
ariyalur,2009,Whole Year,Ragi,47,2.765957446808511,48.06666666666666
ariyalur,2009,Whole Year,Ragi,47,2.765957446808511,32.36666666666667
ariyalur,2009,Whole Year,Ragi,47,2.765957446808511,451.5
ariyalur,2009,Whole Year,Sesamum,1652,0.2736077481840194,60.86666666666667
ariyalur,2009,Whole Year,Sesamum,1652,0.2736077481840194,177.19999999999996
ariyalur,2009,Whole Year,Sesamum,1652,0.2736077481840194,48.06666666666666
ariyalur,2009,Whole Year,Sesamum,1652,0.2736077481840194,32.36666666666667
ariyalur,2009,Whole Year,Sesamum,1652,0.2736077481840194,451.5
ariyalur,2009,Whole Year,Sugarcane,6970,116.20430416068866,60.86666666666667
ariyalur,2009,Whole Year,Sugarcane,6970,116.20430416068866,177.19999999999996
ariyalur,2009,Whole Year,Sugarcane,6970,116.20430416068866,48.06666666666666
ariyalur,2009,Whole Year,Sugarcane,6970,116.20430416068866,32.36666666666667
ariyalur,2009,Whole Year,Sugarcane,6970,116.20430416068866,451.5
ariyalur,2009,Whole Year,Sunflower,111,1.3333333333333333,60.86666666666667
ariyalur,2009,Whole Year,Sunflower,111,1.3333333333333333,177.19999999999996
ariyalur,2009,Whole Year,Sunflower,111,1.3333333333333333,48.06666666666666
ariyalur,2009,Whole Year,Sunflower,111,1.3333333333333333,32.36666666666667
ariyalur,2009,Whole Year,Sunflower,111,1.3333333333333333,451.5
ariyalur,2009,Whole Year,Sweet potato,2,14.5,60.86666666666667
ariyalur,2009,Whole Year,Sweet potato,2,14.5,177.19999999999996
ariyalur,2009,Whole Year,Sweet potato,2,14.5,48.06666666666666
ariyalur,2009,Whole Year,Sweet potato,2,14.5,32.36666666666667
ariyalur,2009,Whole Year,Sweet potato,2,14.5,451.5
ariyalur,2009,Whole Year,Tapioca,257,34.46692607003891,60.86666666666667
ariyalur,2009,Whole Year,Tapioca,257,34.46692607003891,177.19999999999996
ariyalur,2009,Whole Year,Tapioca,257,34.46692607003891,48.06666666666666
ariyalur,2009,Whole Year,Tapioca,257,34.46692607003891,32.36666666666667
ariyalur,2009,Whole Year,Tapioca,257,34.46692607003891,451.5
ariyalur,2009,Whole Year,Turmeric,21,5.047619047619048,60.86666666666667
ariyalur,2009,Whole Year,Turmeric,21,5.047619047619048,177.19999999999996
ariyalur,2009,Whole Year,Turmeric,21,5.047619047619048,48.06666666666666
ariyalur,2009,Whole Year,Turmeric,21,5.047619047619048,32.36666666666667
ariyalur,2009,Whole Year,Turmeric,21,5.047619047619048,451.5
ariyalur,2009,Whole Year,Urad,1046,0.3824091778202677,60.86666666666667
ariyalur,2009,Whole Year,Urad,1046,0.3824091778202677,177.19999999999996
ariyalur,2009,Whole Year,Urad,1046,0.3824091778202677,48.06666666666666
ariyalur,2009,Whole Year,Urad,1046,0.3824091778202677,32.36666666666667
ariyalur,2009,Whole Year,Urad,1046,0.3824091778202677,451.5
ariyalur,2010,Kharif,Arhar/Tur,209,0.6602870813397129,60.86666666666667
ariyalur,2010,Kharif,Arhar/Tur,209,0.6602870813397129,177.19999999999996
ariyalur,2010,Kharif,Arhar/Tur,209,0.6602870813397129,48.06666666666666
ariyalur,2010,Kharif,Arhar/Tur,209,0.6602870813397129,32.36666666666667
ariyalur,2010,Kharif,Arhar/Tur,209,0.6602870813397129,451.5
ariyalur,2010,Kharif,Castor seed,27,0.2592592592592592,60.86666666666667
ariyalur,2010,Kharif,Castor seed,27,0.2592592592592592,177.19999999999996
ariyalur,2010,Kharif,Castor seed,27,0.2592592592592592,48.06666666666666
ariyalur,2010,Kharif,Castor seed,27,0.2592592592592592,32.36666666666667
ariyalur,2010,Kharif,Castor seed,27,0.2592592592592592,451.5
ariyalur,2010,Kharif,Cotton(lint),5684,1.6469035890218156,60.86666666666667
ariyalur,2010,Kharif,Cotton(lint),5684,1.6469035890218156,177.19999999999996
ariyalur,2010,Kharif,Cotton(lint),5684,1.6469035890218156,48.06666666666666
ariyalur,2010,Kharif,Cotton(lint),5684,1.6469035890218156,32.36666666666667
ariyalur,2010,Kharif,Cotton(lint),5684,1.6469035890218156,451.5
ariyalur,2010,Kharif,Groundnut,12058,3.090562282302206,60.86666666666667
ariyalur,2010,Kharif,Groundnut,12058,3.090562282302206,177.19999999999996
ariyalur,2010,Kharif,Groundnut,12058,3.090562282302206,48.06666666666666
ariyalur,2010,Kharif,Groundnut,12058,3.090562282302206,32.36666666666667
ariyalur,2010,Kharif,Groundnut,12058,3.090562282302206,451.5
ariyalur,2010,Kharif,Maize,9996,0.863345338135254,60.86666666666667
ariyalur,2010,Kharif,Maize,9996,0.863345338135254,177.19999999999996
ariyalur,2010,Kharif,Maize,9996,0.863345338135254,48.06666666666666
ariyalur,2010,Kharif,Maize,9996,0.863345338135254,32.36666666666667
ariyalur,2010,Kharif,Maize,9996,0.863345338135254,451.5
ariyalur,2010,Kharif,Moong(Green Gram),4,0.5,60.86666666666667
ariyalur,2010,Kharif,Moong(Green Gram),4,0.5,177.19999999999996
ariyalur,2010,Kharif,Moong(Green Gram),4,0.5,48.06666666666666
ariyalur,2010,Kharif,Moong(Green Gram),4,0.5,32.36666666666667
ariyalur,2010,Kharif,Moong(Green Gram),4,0.5,451.5
ariyalur,2010,Kharif,Ragi,42,2.595238095238096,60.86666666666667
ariyalur,2010,Kharif,Ragi,42,2.595238095238096,177.19999999999996
ariyalur,2010,Kharif,Ragi,42,2.595238095238096,48.06666666666666
ariyalur,2010,Kharif,Ragi,42,2.595238095238096,32.36666666666667
ariyalur,2010,Kharif,Ragi,42,2.595238095238096,451.5
ariyalur,2010,Kharif,Rice,25211,3.881995954147,60.86666666666667
ariyalur,2010,Kharif,Rice,25211,3.881995954147,177.19999999999996
ariyalur,2010,Kharif,Rice,25211,3.881995954147,48.06666666666666
ariyalur,2010,Kharif,Rice,25211,3.881995954147,32.36666666666667
ariyalur,2010,Kharif,Rice,25211,3.881995954147,451.5
ariyalur,2010,Kharif,Sunflower,202,1.2128712871287128,60.86666666666667
ariyalur,2010,Kharif,Sunflower,202,1.2128712871287128,177.19999999999996
ariyalur,2010,Kharif,Sunflower,202,1.2128712871287128,48.06666666666666
ariyalur,2010,Kharif,Sunflower,202,1.2128712871287128,32.36666666666667
ariyalur,2010,Kharif,Sunflower,202,1.2128712871287128,451.5
ariyalur,2010,Kharif,Urad,1526,0.4855832241153342,60.86666666666667
ariyalur,2010,Kharif,Urad,1526,0.4855832241153342,177.19999999999996
ariyalur,2010,Kharif,Urad,1526,0.4855832241153342,48.06666666666666
ariyalur,2010,Kharif,Urad,1526,0.4855832241153342,32.36666666666667
ariyalur,2010,Kharif,Urad,1526,0.4855832241153342,451.5
ariyalur,2010,Whole Year,Sugarcane,7500,98.53413333333332,60.86666666666667
ariyalur,2010,Whole Year,Sugarcane,7500,98.53413333333332,177.19999999999996
ariyalur,2010,Whole Year,Sugarcane,7500,98.53413333333332,48.06666666666666
ariyalur,2010,Whole Year,Sugarcane,7500,98.53413333333332,32.36666666666667
ariyalur,2010,Whole Year,Sugarcane,7500,98.53413333333332,451.5
ariyalur,2011,Kharif,Bajra,590,2.5406779661016947,60.86666666666667
ariyalur,2011,Kharif,Bajra,590,2.5406779661016947,177.19999999999996
ariyalur,2011,Kharif,Bajra,590,2.5406779661016947,48.06666666666666
ariyalur,2011,Kharif,Bajra,590,2.5406779661016947,32.36666666666667
ariyalur,2011,Kharif,Bajra,590,2.5406779661016947,451.5
